day,total_revenue,daily_revenue,30_days_ma_revenue,90_days_ma_revenue,180_days_ma_revenue
2024/02/03,2.400659208e-05,0.0,0.0,0.0,0.0
2024/02/04,0.00012503433375000002,0.00010102774167000001,5.0513870835000006e-05,5.0513870835000006e-05,5.0513870835000006e-05
2024/02/06,0.00019267928474601907,6.764495099601905e-05,5.6224230888673024e-05,5.6224230888673024e-05,5.6224230888673024e-05
2024/02/07,0.07296168428336734,0.07276900499862132,0.018234419422821835,0.018234419422821835,0.018234419422821835
2024/02/08,0.1564923788179528,0.08353069453458546,0.03129367444517456,0.03129367444517456,0.03129367444517456
2024/02/12,0.15652317051694883,3.079169899602996e-05,0.026083193987478142,0.026083193987478142,0.026083193987478142
2024/02/13,0.6127921344625871,0.4562689639456382,0.087538303981501,0.087538303981501,0.087538303981501
2024/02/14,0.612901233233341,0.00010909877075393482,0.07660965333015762,0.07660965333015762,0.07660965333015762
2024/02/15,0.6389009718428189,0.025999738609477907,0.07098632947230432,0.07098632947230432,0.07098632947230432
2024/02/16,0.6393093227550485,0.00040835091222957143,0.06392853161629684,0.06392853161629684,0.06392853161629684
2024/02/17,0.9186539893242165,0.279344666569168,0.0835118166120124,0.0835118166120124,0.0835118166120124
2024/02/18,10.538991237782119,9.620337248457902,0.8782472692658366,0.8782472692658366,0.8782472692658366
2024/02/19,37.93103539099414,27.39204415321202,2.917770106492466,2.917770106492466,2.917770106492466
2024/02/20,47.70270134068367,9.771665949689528,3.4073340952922564,3.4073340952922564,3.4073340952922564
2024/02/21,57.82707843902179,10.124377098338122,3.85513696216198,3.85513696216198,3.85513696216198
2024/02/22,72.24000166241625,14.412923223394458,4.51499860348901,4.51499860348901,4.51499860348901
2024/02/23,74.97200360873578,2.732001946319528,4.410116447184923,4.410116447184923,4.410116447184923
2024/02/24,77.54595952330892,2.5739559145731477,4.308107528706491,4.308107528706491,4.308107528706491
2024/02/25,77.86830903926267,0.3223495159537464,4.098330791193189,4.098330791193189,4.098330791193189
2024/02/26,78.51756145068025,0.649252411417578,3.925876872204408,3.925876872204408,3.925876872204408
2024/02/27,85.33290187458272,6.8153404239024695,4.06347037466622,4.06347037466622,4.06347037466622
2024/02/28,89.70379529260971,4.370893418026995,4.077444149364438,4.077444149364438,4.077444149364438
2024/02/29,90.96683301608432,1.2630377234746106,3.955078652586619,3.955078652586619,3.955078652586619
2024/03/01,96.69948752632749,5.732654510243165,4.029144313322308,4.029144313322308,4.029144313322308
2024/03/02,100.26995593774649,3.570468411419,4.010797277246176,4.010797277246176,4.010797277246176
2024/03/03,103.1212284262426,2.8512724884961074,3.966200169986558,3.966200169986558,3.966200169986558
2024/03/04,106.05038853130685,2.9291601050642555,3.9277912786931393,3.9277912786931393,3.9277912786931393
2024/03/05,108.44218626091778,2.3917977296109285,3.8729343662259175,3.8729343662259175,3.8729343662259175
2024/03/06,113.1919960610231,4.749809800105325,3.9031714501527937,3.9031714501527937,3.9031714501527937
2024/03/07,119.49734915803877,6.305353097015669,3.9832441717148894,3.9832441717148894,3.9832441717148894
2024/03/08,133.35926645116837,13.861917293129594,4.4453080814858765,4.301911046599235,4.301911046599235
2024/03/09,150.7351075735789,17.37584112241052,5.024499417974838,4.710471361468338,4.710471361468338
2024/03/10,168.42739294421204,17.692285370633158,5.61424000883091,5.103859664776363,5.103859664776363
2024/03/11,226.3960626367819,57.96866969256985,7.544103365083284,6.658707018534995,6.658707018534995
2024/03/12,268.9144310741622,42.51836843738033,8.958597956511476,7.683268773359147,7.683268773359147
2024/03/13,356.2915864798794,87.37715540571719,11.871168776978749,9.896987846480204,9.896987846480204
2024/03/14,420.1746881105305,63.88310163065108,13.985396532535596,11.356072002809146,11.356072002809146
2024/03/15,463.7297646598698,43.555076549339276,15.437228780887882,12.203414227717834,12.203414227717834
2024/03/16,463.7447309546118,0.014966294742009723,15.436860999425631,11.890889921744096,11.890889921744096
2024/03/17,463.7911403606676,0.04640940605582955,15.438394367930417,11.594777908851889,11.594777908851889
2024/03/18,463.830946706537,0.03980634586940823,15.430409757240426,11.312949334145,11.312949334145
2024/03/19,463.8385746904308,0.007627983893769397,15.109986115088288,11.043775016281874,11.043775016281874
2024/03/20,463.8463330748027,0.007758384371925331,14.197176589460286,10.787123466702573,10.787123466702573
2024/03/21,463.86039940811446,0.014066333311745893,13.87192326891436,10.54228125912551,10.54228125912551
2024/03/22,463.86550026590675,0.005100857792285751,13.534614060896164,10.308121694651437,10.308121694651437
2024/03/23,463.8840413804066,0.01854111449983975,13.054801323933011,10.084435160300316,10.084435160300316
2024/03/24,463.8922873596545,0.008245979247931245,12.964009458363957,9.870048156448137,9.870048156448137
2024/03/25,463.89608565947276,0.0037982998182428673,12.878337537872126,9.664501284435014,9.664501284435014
2024/03/26,463.9004921575378,0.004406498065065989,12.867739437275839,9.467356492876444,9.467356492876444
2024/03/27,463.90499192690635,0.004499769368521811,12.84624768254087,9.278099358406285,9.278099358406285
2024/03/28,463.9104894664802,0.005497539573866561,12.619252919729917,9.096283636468394,9.096283636468394
2024/03/29,463.91755639281865,0.007066926338438861,12.47379203667363,8.921491007427434,8.921491007427434
2024/03/30,463.9369646303479,0.01940823752926235,12.432337720475452,8.7535271815803,8.7535271815803
2024/03/31,463.95216614705504,0.015201516707122664,12.241755954024251,8.5917063359345,8.5917063359345
2024/04/01,463.9732281289606,0.021061981905575067,12.123442406373805,8.435876438588519,8.435876438588519
2024/04/02,463.99088119462886,0.017653065668241652,12.028988425612875,8.285551021214943,8.285551021214943
