from_address,to_address,tx_hash,timestamp,token_address,reserve_address,token_volume,asset_price,usd_token_amount,log_index,transaction_index,block_number
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x407f7ea561c0f46911b525dfe51d9fe3a4b05b068b138b93bebbdb9da63cb82d,1714057509,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,47,0.99997657,46.99889879,10,10,6944963
0x0000000000000000000000000000000000000000,0x4195be7ab9Cf9a5C7a71C43C162d7bf6169B9EA5,0x407f7ea561c0f46911b525dfe51d9fe3a4b05b068b138b93bebbdb9da63cb82d,1714057509,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,22100,0.99997657,22099.482196999998,15,10,6944963
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xfeaae0928bb5212df3f4abed31b7b20337ebaac67d433c5ecb1531122a09f839,1714057881,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,4352,0.99997657,4351.89803264,0,1,6945149
0x0000000000000000000000000000000000000000,0xE2227e56b32b96eAF25953D475E78C1981F3c444,0xfeaae0928bb5212df3f4abed31b7b20337ebaac67d433c5ecb1531122a09f839,1714057881,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,16800,0.99997657,16799.606376,5,1,6945149
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x61f509719e23ff11a43b0c2a3f1de6ac9a725626cc5c2d8eae5a37afd22afdd7,1714057891,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,117,0.99997657,116.99725869,20,7,6945154
0x0000000000000000000000000000000000000000,0xE2cd19a5B6ABB178a092C26a6b63185FA23E0539,0x61f509719e23ff11a43b0c2a3f1de6ac9a725626cc5c2d8eae5a37afd22afdd7,1714057891,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,6500,0.99997657,6499.847705,25,7,6945154
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x94a138e3146d8e25c6e9302dc288be5aa5b18801c47c924324ff6d5b9c539dd3,1714057899,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,94,0.99997657,93.99779758,3,3,6945158
0x0000000000000000000000000000000000000000,0xBCEA5333AF3ca037E9b6Af93152FdE308fB3ffCB,0x94a138e3146d8e25c6e9302dc288be5aa5b18801c47c924324ff6d5b9c539dd3,1714057899,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,19300,0.99997657,19299.547801,8,3,6945158
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x8ca7465a9bf52ef90c97a23f5439e66d2e6fcaba4a82c13578595aabb159517e,1714058077,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,2082,0.99997657,2081.95121874,19,6,6945247
0x0000000000000000000000000000000000000000,0x5F0e33861DE9dB76010027979028822DC3D29613,0x8ca7465a9bf52ef90c97a23f5439e66d2e6fcaba4a82c13578595aabb159517e,1714058077,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,20700,0.99997657,20699.514999,24,6,6945247
