,contract_address,minute,price,symbol
1832,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:20:00.000 UTC,1.106739,MNT
1833,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2024-04-16 14:20:00.000 UTC,63003.86,WBTC
1834,0x6b175474e89094c44da98b954eedeac495271d0f,2024-04-16 14:20:00.000 UTC,1.001821,DAI
1835,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2024-04-16 14:20:00.000 UTC,3086.52,WETH
1836,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:22:00.000 UTC,1.035485,USDY
1837,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:24:00.000 UTC,1.035485,USDY
1838,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:25:00.000 UTC,1.100536,MNT
1839,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:25:00.000 UTC,1.100536,MNT
1840,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:26:00.000 UTC,1.035105,USDY
1841,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:28:00.000 UTC,1.035105,USDY
1842,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,2024-04-16 14:30:00.000 UTC,3155.66,mETH
1843,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:30:00.000 UTC,1.094183,MNT
1844,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:30:00.000 UTC,1.027477,USDY
1845,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:30:00.000 UTC,1.094183,MNT
1846,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:30:00.000 UTC,1.094183,MNT
1847,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2024-04-16 14:30:00.000 UTC,62863.95,WBTC
1848,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-16 14:30:00.000 UTC,1.002459,USDT
1849,0x6b175474e89094c44da98b954eedeac495271d0f,2024-04-16 14:30:00.000 UTC,1.002091,DAI
1850,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2024-04-16 14:30:00.000 UTC,3077.11,WETH
1851,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-16 14:30:00.000 UTC,1.001883,USDC
1852,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:32:00.000 UTC,1.027477,USDY
1853,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:34:00.000 UTC,1.027477,USDY
1854,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:35:00.000 UTC,1.088008,MNT
1855,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:35:00.000 UTC,1.088008,MNT
1856,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:36:00.000 UTC,1.035933,USDY
1857,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:38:00.000 UTC,1.035933,USDY
1858,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2024-04-16 14:40:00.000 UTC,3056.74,WETH
1859,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:40:00.000 UTC,1.034011,USDY
1860,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-16 14:40:00.000 UTC,1.000519,USDT
1861,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:40:00.000 UTC,1.089012,MNT
1862,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:40:00.000 UTC,1.089012,MNT
1863,0x6b175474e89094c44da98b954eedeac495271d0f,2024-04-16 14:40:00.000 UTC,0.999282,DAI
1864,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:40:00.000 UTC,1.089012,MNT
1865,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-16 14:40:00.000 UTC,0.999768,USDC
1866,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,2024-04-16 14:40:00.000 UTC,3132.86,mETH
1867,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2024-04-16 14:40:00.000 UTC,62410.14,WBTC
1868,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:42:00.000 UTC,1.034011,USDY
1869,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:44:00.000 UTC,1.034011,USDY
1870,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:45:00.000 UTC,1.088647,MNT
1871,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:45:00.000 UTC,1.088647,MNT
1872,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:46:00.000 UTC,1.034279,USDY
