token_address,underlying_address,decimals,token_name,embers,chain,chain_index
0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1e6,ironUSDC,6,mode,0
0x02CD18c03b5b3f250d2B29C87949CDAB4Ee11488,0xf0F161fDA2712DB8b566946122a5af183995e2eD,1e6,ironUSDT,6,mode,0
0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0x4200000000000000000000000000000000000006,1e18,ironWETH,10,mode,0
0x272CfCceFbEFBe1518cd87002A8F9dfd8845A6c4,0x2416092f143378750bb29b79eD961ab195CcEea5,1e18,ironezETH,10,mode,0
0x58254000eE8127288387b04ce70292B56098D55C,0x028227c4dd1e5419d11Bb6fa6e661920c519D4F5,1e18,ironweETH,10,mode,0
0xe3f709397e87032E61f4248f53Ee5c9a9aBb6440,0xe7903B1F75C534Dd8159b313d92cDCfbC62cB3Cd,1e18,ironwrsETH,10,mode,0
0xC17312076F48764d6b4D263eFdd5A30833E311DC,0x59889b7021243dB5B1e065385F918316cD90D46c,1e18,ironMBTC,10,mode,0
0x4522DBc3b2cA81809Fa38FEE8C1fb11c78826268,0x028227c4dd1e5419d11Bb6fa6e661920c519D4F5,1e18,ironweETHMode,10,mode,0
0x0F4f2805a6d15dC534d43635314444181A0e82CD,0xDfc7C877a950e49D2610114102175A06C2e3167a,1e18,ironMODE,100,mode,0
0xe5415Fa763489C813694D7A79d133F0A7363310C,0xd988097fb8612cc24eeC14542bC03424c656005f,1e6,vUSDC,10,mode,0
0xBcE07537DF8AD5519C1d65e902e10aA48AF83d88,0xf0F161fDA2712DB8b566946122a5af183995e2eD,1e6,vUSDT,10,mode,0
0x06D38c309d1dC541a23b0025B35d163c25754288,0x4200000000000000000000000000000000000006,1e18,vWETH,20,mode,0
0x5eEA43129024eeE861481f32c2541b12DDD44c08,0x2416092f143378750bb29b79eD961ab195CcEea5,1e18,vezETH,0,mode,0
0x05249f9Ba88F7d98fe21a8f3C460f4746689Aea5,0x028227c4dd1e5419d11Bb6fa6e661920c519D4F5,1e18,vweETH,0,mode,0
0x083E519E76fe7e68C15A6163279eAAf87E2addAE,0xe7903B1F75C534Dd8159b313d92cDCfbC62cB3Cd,1e18,vwrsETH,0,mode,0
0x3F332f38926b809670b3cac52Df67706856a1555,0x59889b7021243dB5B1e065385F918316cD90D46c,1e18,vMBTC,20,mode,0
0xF8D68E1d22FfC4f09aAA809B21C46560174afE9c,0x028227c4dd1e5419d11Bb6fa6e661920c519D4F5,1e18,vweETHMode,0,mode,0
0xe57Bf381Fc0a7C5e6c2A3A38Cc09de37b29CC4C3,0xDfc7C877a950e49D2610114102175A06C2e3167a,1e18,vMODE,200,mode,0
0x833b5C0379A597351c6Cd3eFE246534bf3aE5f9F,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,1e6,auUSDC,0,mantle,1
0x893DA3225a2FCF13cCA674d1A1bb5a2eA1F3DD14,0x201EBa5CC46D216Ce6DC03F6a759e8E766e956aE,1e6,auUSDT,0,mantle,1
0xF91798762cc61971df6Df0e15F0904e174387477,0xCAbAE6f6Ea1ecaB08Ad02fE02ce9A44F09aebfA2,1e8,auWBTC,0,mantle,1
0xc3B515BCa486520483EF182c3128F72ce270C069,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1e18,auWETH,0,mantle,1
0x067DDc903148968d49AbC3144fd7619820F16949,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1e18,auMNT,0,mantle,1
0xBb406187C01cC1c9EAf9d4b5C924b7FA37aeCEFD,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,1e18,auMETH,0,mantle,1
0x7bDb0095429F8eFf1Efb718aABc912B2489Ba5b3,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,1e18,auUSDe,0,mantle,1
0xFdD2eBc184b4ff6dF14562715452E970c82Fe49A,0x5bE26527e817998A7206475496fDE1E68957c5A6,1e18,auUSDY,0,mantle,1
0xaA9c890CA3E6B163487dE3C11847B50e48230b45,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,1e6,vUSDC,0,mantle,1
0xc799FE29b67599010A55Ec14a8031aF2a2521470,0x201EBa5CC46D216Ce6DC03F6a759e8E766e956aE,1e6,vUSDT,0,mantle,1
0xd632fd1D737c6Db356D747D09642Bef8Ae453f4D,0xCAbAE6f6Ea1ecaB08Ad02fE02ce9A44F09aebfA2,1e8,vWBTC,0,mantle,1
0x45cccE9bC8e883ef7805Ea73B88D5D528C7CEc55,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1e18,vWETH,0,mantle,1
0x4C3c0650DdCB767D71c91fA89ee9e5a2CD335834,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1e18,vWMNT,0,mantle,1
0x00dFD5F920CCf08eB0581D605BAb413d289c21b4,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,1e18,vMETH,0,mantle,1
0xcbE019C9C44954D388602A99a45A1d7DA61321CF,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,1e18,vUSDe,0,mantle,1
0x2D55f5558AEa4c25Fcc1Ff78b10265755AFF3856,0x5bE26527e817998A7206475496fDE1E68957c5A6,1e18,vUSDY,0,mantle,1
