from_address,to_address,tx_hash,timestamp,token_address,reserve_address,token_volume,asset_price,usd_token_amount,log_index,transaction_index,block_number
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x111e546710b57075261fcfa6e1d8727aa5cdb7484eefaa821a0774493cfcbe79,1715024301,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,8101977859,0.99998,8101815819.44282,1,1,7428359
0x0000000000000000000000000000000000000000,0xa5a68384b253ecbc4e37B56a50BE2e960b88E46E,0x111e546710b57075261fcfa6e1d8727aa5cdb7484eefaa821a0774493cfcbe79,1715024301,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,10000000000000,0.99998,9999800000000.0,5,1,7428359
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xcaf895fe4a693077561f2132cf0eeb615dbb6d3a2ffeaec62e82f51736968f3b,1715024307,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,2209632374,0.99998,2209588181.35252,6,3,7428362
0x530487a4394E61Db0715c4348F256cd02D7d77F5,0x6387c7193B5563DD17d659b9398ACd7b03FF0080,0xa1bc560de675e74281d50129e5a75d54814f775286964eafb0091d56d0502a2a,1715024315,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,4950096963254409,0.99998,4949997961315144.0,7,2,7428366
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xa1bc560de675e74281d50129e5a75d54814f775286964eafb0091d56d0502a2a,1715024315,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,2946210501,0.99998,2946151576.78998,8,2,7428366
0x6387c7193B5563DD17d659b9398ACd7b03FF0080,0x0000000000000000000000000000000000000000,0xa1bc560de675e74281d50129e5a75d54814f775286964eafb0091d56d0502a2a,1715024315,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,4950096963254409,0.99998,4949997961315144.0,13,2,7428366
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xa50e69bc23b43f5298671df3134d2bdd1f26cc92a86f4a07e4eaa4b098aa6442,1715024333,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,6629319378,0.99998,6629186791.61244,14,6,7428375
0x0000000000000000000000000000000000000000,0x00a489d72930e0f7573e70eb70688eB9A8235e80,0xa50e69bc23b43f5298671df3134d2bdd1f26cc92a86f4a07e4eaa4b098aa6442,1715024333,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,152711463350025,0.99998,152708409120758.0,18,6,7428375
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x46d4dce100f9e76cfc4d2570bf0e88ed6f91b95b446def4e181c8cecb183bb74,1715024355,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,8102495786,0.99998,8102333736.08428,0,1,7428386
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x5e6dfea183545ab39771c43ac18181a421bd646900e72ca6cb7746132ff5d59b,1715024359,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,1473182841,0.99998,1473153377.34318,24,6,7428388
0xba0367077c9001452D438aa40956Af94a7176Df1,0x6387c7193B5563DD17d659b9398ACd7b03FF0080,0xac26f6f1e3bcf0561f1022f7bfdf63faece493c2b38679bdd0dd3b94063aaa80,1715024381,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,1500000000000000,0.99998,1499970000000000.0,3,1,7428399
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xac26f6f1e3bcf0561f1022f7bfdf63faece493c2b38679bdd0dd3b94063aaa80,1715024381,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,8102509880,0.99998,8102347829.8024,4,1,7428399
0x6387c7193B5563DD17d659b9398ACd7b03FF0080,0x0000000000000000000000000000000000000000,0xac26f6f1e3bcf0561f1022f7bfdf63faece493c2b38679bdd0dd3b94063aaa80,1715024381,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,1500000000000000,0.99998,1499970000000000.0,9,1,7428399
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x4b01fbbbe74f11c4b0b1a122e2399be43efda9919128d64c9ffb9541db5035ba,1715024387,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,2209812343,0.99998,2209768146.75314,3,2,7428402
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xdd1ca1a710c1b4daf021f34cc934595f58e42390017630986220fe340d4619ed,1715024407,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,7366044935,0.99998,7365897614.1013,21,12,7428412
0x0000000000000000000000000000000000000000,0x5acca936DaB843345Dc4c54FbC0cA453DE7A28A8,0xdd1ca1a710c1b4daf021f34cc934595f58e42390017630986220fe340d4619ed,1715024407,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,1000000000000000,0.99998,999980000000000.0,25,12,7428412
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xfa27f5d0d41488f128cc091afb32d4ab3ebe817b81b3671eedf1edf2d2453269,1715024455,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,17678341926,0.99998,17677988359.16148,8,4,7428436
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xd8c75fa8c9a7955ec285ac561692010384afa036f84c56e2c2c1703e6972bc1e,1715024465,0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0xd988097fb8612cc24eeC14542bC03424c656005f,3683015630,0.99998,3682941969.6874,15,4,7428441
