tx_hash,trove_owner,collateral_redeemed,number_of_collateral_tokens,debt,operation,timestamp,contract_type,block_number
0xfa45ac979b6a51d4a4f0543cf8f32c4ce054db22d65d51f12125e483f8c6d803,0x1900e40d1942DF3AFa3e34D3366CB17818a912C4,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,9700000000,4887588534469419917050,2,1713223554,borrower_operations,62546621
0xec201d60247753999758e0a88edf49efbd7577110d4911c88f5c8fe56b1e2e98,0xD8c84eaC995150662CC052E6ac76Ec184fcF1122,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,38883142112579686,93649136857607455603,2,1713228584,borrower_operations,62549136
0xa8b4e8907d11fae04c313ee68aabf324d6ce18ca799722d74d4390f29d0a9e6e,0xA40F2c85F814827D9bC01D6E2e6328832991076e,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,151542990751850325,231125589657808826675,2,1713236164,borrower_operations,62552926
0x1309bfbc900eeb98f5083f9435e65af5d2910b51207c9215177cd8f0b7ebe275,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,0,0,1,1713044222,trove_manager,62456955
0xc043163e6203f8aea96d61df8f46195d56946d247e64c218f4898b939320de42,0xB573f01f2901c0dB3E14Ec80C6E12e4868DEC864,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,21816868664748271886,41089918893563576972676,3,1712065850,trove_manager,61967769
0xdda2ef22e8a4b0c905741f188cab22cb84f2862348fb8475e06fb76329137df4,0xB573f01f2901c0dB3E14Ec80C6E12e4868DEC864,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,22273690468418163527,42580086235432480942899,3,1711995904,trove_manager,61932796
0xa1223974cb0944a893f41e452b1f8a99dfbe21beffd0bb6ea74b154025c907c6,0x40137e45E9D35b260BA82EaF4DF43C6B1E1662d2,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,0,0,3,1711957712,trove_manager,61913700
0xa1223974cb0944a893f41e452b1f8a99dfbe21beffd0bb6ea74b154025c907c6,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,5891854712949035231,10897721992904248239831,3,1711957712,trove_manager,61913700
0x80bf28d7be0de3e9563e7c4550fbc2a6b85a09263a786316f8f2fa215ce5de65,0xa11CBa2199d349c35F4c4EF6A4760406c69F9f79,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,0,0,3,1711822714,trove_manager,61846201
0x80bf28d7be0de3e9563e7c4550fbc2a6b85a09263a786316f8f2fa215ce5de65,0xB573f01f2901c0dB3E14Ec80C6E12e4868DEC864,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,22567900546008363740,43590000250439844553542,3,1711822714,trove_manager,61846201
0xbf513dd7c977572dc813ca0f7c3350ecd664457f9d6aa21774a3493d086919b7,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1444108930568898272,2322330303409068174261,3,1711826974,trove_manager,61848331
0xe8610151ad2c7c35f567a363638add2092eec4de80665dfff2dfb825fe9a327b,0xB573f01f2901c0dB3E14Ec80C6E12e4868DEC864,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,22854265489064318316,44599757388986877481656,3,1711787430,trove_manager,61828559
0x6e46c136e8262a2d650cdb0f526fb68c42101a15ab3bae9f89e3893c60347c57,0xB573f01f2901c0dB3E14Ec80C6E12e4868DEC864,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,23355278204053170068,46353855510497921297779,3,1711762076,trove_manager,61815882
0xb890d7c2f4e26f353572ebdd635e4ec4a8fad7587803bea5fbd752c84ccf27a8,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,6198710714904823139,11985759730399002772659,3,1711699706,trove_manager,61784697
0xcefbc0a7bc4a848b0830f564d90807dc9daf2ef45893e819f9431e9f60c7633f,0xB573f01f2901c0dB3E14Ec80C6E12e4868DEC864,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,23753406206197573096,47754150886066877453995,3,1711727304,trove_manager,61798496
0xb08795966747bcbe9ab4401d4de22178fed524639981ff9cf305f3f32b5edcaa,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,6679376981922322145,13681221064043832280200,3,1711664118,trove_manager,61766903
0x39da0ed8c8c5675d81173f7e55eabdcef55dae9b5a742f519a195cbec573f65b,0xB573f01f2901c0dB3E14Ec80C6E12e4868DEC864,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,24388361412535901467,49989534089537066434572,3,1711664542,trove_manager,61767115
0xb1dd350fa4ff5b62ddbcdfa5e1b562664968c14e6bbdd4d08b3314479b4a0595,0xCB76f019C40Dd23328D720499703784F093D601e,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,0,0,3,1711666610,trove_manager,61768149
0xb1dd350fa4ff5b62ddbcdfa5e1b562664968c14e6bbdd4d08b3314479b4a0595,0xB573f01f2901c0dB3E14Ec80C6E12e4868DEC864,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,24153150477548834801,49151676845924455941196,3,1711666610,trove_manager,61768149
0x70f69da01fc21f1da2f5fcae0c7fea14bc7a8d536b9eeb7c9f2aa582f7b5ffd4,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,7.038372881261438e+18,14956689404002006818830,3,1711580372,trove_manager,61725030
0x127e26dd8bf467ee3c0179927691424bea389df0c9e8a86b1c85c933b5f1bcea,0xFe5000A4E2cD553Fc8cE9133de0ce80C6Ffc4FC8,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,2.936463866886143e+18,5653156296428178430813,3,1711613926,trove_manager,61741807
0x5eca0e22c9ba5a6c8f5032d5e5884272aeb8b9bc3301ec4c75862d652284440d,0xFe5000A4E2cD553Fc8cE9133de0ce80C6Ffc4FC8,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.355356825340568e+18,7147986290992565990178,3,1711544286,trove_manager,61706987
0xb5f3c18000b7c7cb39dc5b2a101eacb2cb5c297e46c4f0cfb9a1f941cdc4c847,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.7615578770136507e+18,3432679768806380534633,3,1711550288,trove_manager,61709988
0xac4104ec03d5ca4a3b58d4827ee50758f43997799d37c6c10bc62ec8fb25fc5d,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,7.834608134871538e+18,17788818456786295135703,3,1711501476,trove_manager,61685582
0x2986f95a04b67a2f6c5781c0e8692b5d16f9e12dd3f65832e69363e683f14dd9,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,7.497931126600446e+18,16570215452998166734469,3,1711501918,trove_manager,61685803
0xb2de5f5744756c4e1dc9848f826612a0703785399f951c9c0f915d039c90a929,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,2.139100279048468e+18,4768643746542256808664,3,1711336044,trove_manager,61602866
0x89dd36e2a75375c503a750a694ba1b19f64065e1ff8e832f94f63449f1dce7bf,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,8.558814217979287e+18,20403079736294791137284,3,1711274604,trove_manager,61572146
0xe70c22f9bd263b0bad512fa604640948a9d76912fde6c5e3ed0183e4f96a99d0,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,2.5559844600168945e+18,6200808937089897468143,3,1711188000,trove_manager,61528844
0x6b06c8d587375b85561ed0833591512fcb665a381cfc2ea5a113547a3c577362,0xAE93b936d24d9556F718E5b5272d579F3Cf1A1B4,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,1.2698944529928365e+17,164168159726319704893,3,1711117310,trove_manager,61493499
0xcda2d6ba2ae69ce099316b9695965b2c60be30044e5f93ebfab64d8bf3e16410,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,2.810310085227348e+18,7052428974783361202014,3,1710962832,trove_manager,61416260
0x370bf9996de82cef42797e53c689ef22576d5ddf85e81aa96ac95d1bcfe2871b,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.482950881560346e+19,38777260828099346683583,3,1710835502,trove_manager,61352595
0xdb13e0834210cc4fa7a3f2a7b049c0c0669584876d31e63ba0c9a4113c3137a3,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.463286221666081e+19,38134523700555839420881,3,1710837994,trove_manager,61353841
