user_address,liquidator_address,collateral_asset,liquidated_amount,debt_asset,debt_repaid,tx_hash,timestamp,block_number
0xCC0beaC3aa9C44F3B39f4265D1c4A4Bce95dC00f,0xc89c328609aB58E256Cd2b5aB4F4aF2EFb9fcA33,0x4200000000000000000000000000000000000006,2.319347230977943e+17,0xd988097fb8612cc24eeC14542bC03424c656005f,614350531,0xf0af00e8bfd7b35a62cda78a7222fd15562851c08087f56df4b45e875099d9c5,1713038969,6435693
0x4254419739cE5Ea3FB4140357b2bAA71357D14D0,0xc89c328609aB58E256Cd2b5aB4F4aF2EFb9fcA33,0x4200000000000000000000000000000000000006,2.1229510428742323e+17,0xf0F161fDA2712DB8b566946122a5af183995e2eD,553171189,0x5724d60ec9e455cd14b5b3e64894ad2a699c4b5378a6862e76d82fe059dbfd41,1713038985,6435701
0xbb564a7d40f32D2eeE00aD1077a600BB1462eEc2,0xc89c328609aB58E256Cd2b5aB4F4aF2EFb9fcA33,0x2416092f143378750bb29b79eD961ab195CcEea5,1.5040628772632294e+17,0xd988097fb8612cc24eeC14542bC03424c656005f,401423972,0x89ab3befd45577ea271c399b83b0741a91b53f46462c4c48c75da186f5ac2cb2,1713038985,6435701
0xC76Cd240Dee8CC138A93D01f5cbaAEcb450E74A9,0xc89c328609aB58E256Cd2b5aB4F4aF2EFb9fcA33,0x4200000000000000000000000000000000000006,1.1345215678359626e+17,0xd988097fb8612cc24eeC14542bC03424c656005f,295948502,0x1e09d376699f00184da2c9d4585738435c321680314897beaa06bf90676a05de,1713038985,6435701
0x49F63B254EA9043E57678C13E06Aef257fab45C1,0xc89c328609aB58E256Cd2b5aB4F4aF2EFb9fcA33,0x2416092f143378750bb29b79eD961ab195CcEea5,1.0673978951123982e+18,0xd988097fb8612cc24eeC14542bC03424c656005f,2805335275,0xf37137e65501227201d2a078ab548e5a6ffcca777bd567c857786f40eb7f8aa0,1713038995,6435706
0xE451DC0948F33B1261c585f0DB84cca9Ab69F3A4,0xc89c328609aB58E256Cd2b5aB4F4aF2EFb9fcA33,0x2416092f143378750bb29b79eD961ab195CcEea5,5.525863618517615e+17,0xd988097fb8612cc24eeC14542bC03424c656005f,1452307542,0x0e5f2549cfaddf2e63bcf727f0eaf519104274382cbd7ff5804530e5deb4817b,1713038995,6435706
0xeb0eF01797CD81Cc9C346b8F370B80B9Aed25e92,0xc89c328609aB58E256Cd2b5aB4F4aF2EFb9fcA33,0x2416092f143378750bb29b79eD961ab195CcEea5,4.902409750198772e+17,0xf0F161fDA2712DB8b566946122a5af183995e2eD,1287567064,0x17fa94fe0cdac36ff7a0b129f20727493ef7efcbdce21ffc62fbca8e82a90e85,1713038995,6435706
0xB852f337Dd15626917317e4b7dbe7B19f2982Dd2,0xc89c328609aB58E256Cd2b5aB4F4aF2EFb9fcA33,0x2416092f143378750bb29b79eD961ab195CcEea5,2.6198071825654147e+17,0xf0F161fDA2712DB8b566946122a5af183995e2eD,688065179,0xaa0a4bc197ee635830a2e861f1efd3ed1330953af74a254dda9b68213e72d112,1713038997,6435707
0x81546d9c15924DD59B648609a9D1e07F763D2BBA,0xc89c328609aB58E256Cd2b5aB4F4aF2EFb9fcA33,0x2416092f143378750bb29b79eD961ab195CcEea5,1.3336401762576242e+17,0xd988097fb8612cc24eeC14542bC03424c656005f,350507327,0x1a49bd9b2041847dc1576c8ed55ad9f3059f3a61e100067eb5d376625dcb3686,1713038999,6435708
0xBEbC82023348c9dAFE4a3BD054f2d8098CB2c37C,0xc89c328609aB58E256Cd2b5aB4F4aF2EFb9fcA33,0x2416092f143378750bb29b79eD961ab195CcEea5,3.199508401233877e+18,0xd988097fb8612cc24eeC14542bC03424c656005f,8408948361,0xc1c92a90a83a5a5609fa6f324c9fa5c71fea63a38331ecefee33fb8bb6606eb2,1713039001,6435709
